UTC,storage1_qforcing_in,storage2_qforcing_in,storage3_qforcing_in,storage1_qforcing_out,storage2_qforcing_out,storage3_qforcing_out,storage1_mforcing_in,storage2_mforcing_in,storage3_mforcing_in,head_sea_upstream_zsf,salinity_sea_upstream_zsf,head_sea_downstream_zsf,salinity_sea_downstream_zsf,storage3_qforcing_ZSF,storage3_mforcing_ZSF,storage1_qforcing_ZSF,storage1_mforcing_ZSF,connector0_middle_discharge,storage1_qforcing_advective,storage1_mforcing_advective,storage3_qforcing_advective,upstream_discharge,downstream_discharge,upstream_flux
2013-01-01 00:41:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:42:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:43:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:44:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:45:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:46:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:47:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:48:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:49:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:50:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:51:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:52:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:53:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:54:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:55:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:56:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:57:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:58:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:59:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:00:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:01:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:02:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:03:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:04:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:05:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:06:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:07:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:08:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:09:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:10:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:11:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:12:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:13:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:14:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:15:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:16:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:17:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:18:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:19:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:20:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:21:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 01:22:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
